Serie,Modelo,Ingreso,Estado_normalizado,num_reparaciones_6m,num_reparaciones_12m,dias_desde_ultima_reparacion,edad_dias,fallo_30d
7203349,CVB35.BC,2024-07-29,Reparado / Garantía Lab,1,1,161.0,1046,0
7203349,CVB35.BC,2025-03-28,Reparado / Garantía Lab,0,1,242.0,1288,0
7203351,CVB35.BC,2022-12-07,Reparado,0,0,0.0,0,0
7203352,CVB35.BC,2021-02-12,Reparado,0,0,0.0,0,0
7203352,CVB35.BC,2022-08-30,Reparado / Garantía Lab,0,0,564.0,564,0
7203352,CVB35.BC,2024-03-26,Reparado / Garantía Lab,0,0,574.0,1138,0
7203353,CVB35.BC,2022-02-14,Reparado,0,0,0.0,0,0
7203353,CVB35.BC,2023-08-30,Reparado / Garantía Lab,0,0,562.0,562,0
7203354,CVB35.BC,2021-02-11,Reparado,0,0,0.0,0,0
7203354,CVB35.BC,2023-01-15,Reparado / Garantía Lab,0,0,703.0,703,0
7203354,CVB35.BC,2025-08-29,Reparado / Garantía Lab,0,0,957.0,1660,0
7203355,CVB35.BC,2022-12-14,Reparado,0,0,0.0,0,0
7203355,CVB35.BC,2024-09-16,Reparado / Garantía Lab,0,0,642.0,642,0
7203355,CVB35.BC,2025-07-24,Reparado / Garantía Lab,0,1,311.0,953,0
7203356,CVB35.BC,2022-02-14,Reparado,0,0,0.0,0,0
7203356,CVB35.BC,2025-07-15,POD Reparado,0,0,1247.0,1247,1
7203356,CVB35.BC,2025-07-28,Reparado / Garantía Lab,1,1,13.0,1260,1
7203356,CVB35.BC,2025-08-07,Reparado / Garantía Lab,2,2,10.0,1270,0
7203356,CVB35.BC,2025-10-10,Reparado / Garantía Lab,3,3,64.0,1334,1
7203356,CVB35.BC,2025-10-16,Reparado / Garantía Lab,4,4,6.0,1340,0
7203357,CVB35.BC,2021-04-01,Reparado,0,0,0.0,0,0
7203357,CVB35.BC,2022-03-03,Reparado / Garantía Lab,0,1,336.0,336,0
7203357,CVB35.BC,2024-07-03,Reparado / Garantía Lab,0,0,853.0,1189,0
7203360,CVB35.BC,2024-01-24,Reparado,0,0,0.0,0,0
7203362,CVB35.BC,2021-02-08,Reparado,0,0,0.0,0,0
7203362,CVB35.BC,2023-07-16,Reparado / Garantía Lab,0,0,888.0,888,0
7203363,CVB35.BC,2022-10-04,Reparado,0,0,0.0,0,0
7203364,CVB35.BC,2024-08-30,Reparado,0,0,0.0,0,0
7203365,CVB35.BC,2023-10-25,Reparado,0,0,0.0,0,0
7203366,CVB35.BC,2024-05-21,Reparado,0,0,0.0,0,0
7203367,CVB35.BC,2021-04-11,Reparado,0,0,0.0,0,0
7203367,CVB35.BC,2021-06-22,Reparado / Garantía Lab,1,1,72.0,72,0
7203367,CVB35.BC,2021-12-16,Reparado / Garantía Lab,1,2,177.0,249,0
7203367,CVB35.BC,2024-02-19,Reparado / Garantía Lab,0,0,795.0,1044,0
7203368,CVB35.BC,2020-12-05,Reparado,0,0,0.0,0,1
7203368,CVB35.BC,2020-12-12,Reparado,1,1,7.0,7,0
7203368,CVB35.BC,2021-08-23,Reparado / Garantía Lab,0,2,254.0,261,0
7203368,CVB35.BC,2023-12-15,Reparado / Garantía Lab,0,0,844.0,1105,0
7203369,CVB35.BC,2024-05-17,Reparado,0,0,0.0,0,0
7203370,CVB35.BC,2021-12-07,Reparado,0,0,0.0,0,0
7203370,CVB35.BC,2024-04-23,Reparado / Garantía Lab,0,0,868.0,868,0
7203371,CVB35.BC,2022-10-10,Reparado,0,0,0.0,0,0
7203371,CVB35.BC,2025-09-30,Reparado / Garantía Lab,0,0,1086.0,1086,1
7203371,CVB35.BC,2025-10-14,Reparado,1,1,14.0,1100,1
7203371,CVB35.BC,2025-10-17,Reparado / Garantía Lab,2,2,3.0,1103,0
7203372,CVB35.BC,2021-10-06,Reparado,0,0,0.0,0,0
7203372,CVB35.BC,2022-05-05,Reparado / Garantía Lab,0,1,211.0,211,0
7203373,CVB35.BC,2022-02-14,Reparado,0,0,0.0,0,0
7203374,CVB35.BC,2021-10-21,Reparado,0,0,0.0,0,0
7203374,CVB35.BC,2022-07-02,Reparado,0,1,254.0,254,0
7203376,CVB35.BC,2022-02-14,Reparado,0,0,0.0,0,0
7203377,CVB35.BC,2021-02-11,Reparado,0,0,0.0,0,0
7203377,CVB35.BC,2022-12-07,Reparado / Garantía Lab,0,0,664.0,664,0
7203378,CVB35.BC,2021-09-14,Reparado,0,0,0.0,0,0
7203378,CVB35.BC,2022-03-04,Reparado / Garantía Lab,1,1,171.0,171,1
7203378,CVB35.BC,2022-03-25,Reparado / Garantía Lab,1,2,21.0,192,0
7203378,CVB35.BC,2025-11-25,Reparado / Garantía Lab,0,0,1341.0,1533,0
7203379,CVB35.BC,2021-08-02,Reparado,0,0,0.0,0,0
7203379,CVB35.BC,2025-02-07,Reparado / Garantía Lab,0,0,1285.0,1285,0
7203380,CVB35.BC,2022-02-15,Reparado,0,0,0.0,0,0
7203381,CVB35.BC,2022-12-06,Reparado,0,0,0.0,0,0
7203385,CVB35.BC,2022-02-15,Reparado,0,0,0.0,0,0
7203385,CVB35.BC,2022-03-24,Reparado / Garantía Lab,1,1,37.0,37,0
7203385,CVB35.BC,2024-08-07,Reparado / Garantía Lab,0,0,867.0,904,0
7203386,CVB35.BC,2022-02-18,Reparado,0,0,0.0,0,1
7203386,CVB35.BC,2022-02-25,Reparado / Garantía Lab,1,1,7.0,7,1
7203386,CVB35.BC,2022-03-04,Reparado / Garantía Lab,2,2,7.0,14,0
7203386,CVB35.BC,2022-04-28,Reparado / Garantía Lab,3,3,55.0,69,0
7203386,CVB35.BC,2022-08-23,Reparado / Garantía Lab,3,4,117.0,186,0
7203387,CVB35.BC,2021-12-21,Reparado,0,0,0.0,0,0
7203388,CVB35.BC,2022-11-08,Reparado,0,0,0.0,0,1
7203388,CVB35.BC,2022-11-17,Reparado / Garantía Lab,1,1,9.0,9,1
7203388,CVB35.BC,2022-11-22,Reparado / Garantía Lab,2,2,5.0,14,0
7203389,CVB35.BC,2021-06-24,Reparado,0,0,0.0,0,0
7203389,CVB35.BC,2021-12-09,Reparado,1,1,168.0,168,0
7203389,CVB35.BC,2022-03-11,Reparado / Garantía Lab,1,2,92.0,260,0
7203389,CVB35.BC,2024-03-26,Reparado / Garantía Lab,0,0,746.0,1006,0
7203390,CVB35.BC,2022-02-15,Reparado,0,0,0.0,0,1
7203390,CVB35.BC,2022-02-23,Reparado / Garantía Lab,1,1,8.0,8,0
7203391,CVB35.BC,2024-04-16,Reparado,0,0,0.0,0,0
7203392,CVB45.BC,2021-12-09,Reparado,0,0,0.0,0,0
7203392,CVB35.BC,2024-08-30,Reparado / Garantía Lab,0,0,995.0,995,0
7203393,CVB35.BC,2021-08-12,Reparado,0,0,0.0,0,0
7203393,CVB35.BC,2025-11-25,Reparado / Garantía Lab,0,0,1566.0,1566,0
7203394,CVB35.BC,2022-09-22,Reparado,0,0,0.0,0,0
7203394,CVB35.BC,2025-09-02,Reparado / Garantía Lab,0,0,1076.0,1076,1
7203394,CVB35.BC,2025-09-12,Reparado / Garantía Lab,1,1,10.0,1086,1
7203394,CVB35.BC,2025-10-07,Reparado / Garantía Lab,2,2,25.0,1111,0
7203394,CVB35.BC,2025-11-24,Reparado / Garantía Lab,3,3,48.0,1159,0
7203395,CVB35.BC,2024-07-15,Reparado,0,0,0.0,0,0
7203396,CVB35.BC,2021-02-08,Reparado,0,0,0.0,0,0
7203396,CVB35.BC,2021-10-21,Reparado,0,1,255.0,255,0
7203397,CVB35.BC,2022-05-18,Reparado,0,0,0.0,0,1
7203397,CVB35.BC,2022-05-31,Reparado / Garantía Lab,1,1,13.0,13,1
7203397,CVB35.BC,2022-06-27,Reparado / Garantía Lab,2,2,27.0,40,0
7203397,CVB35.BC,2024-04-09,Reparado / Garantía Lab,0,0,652.0,692,0
7203397,CVB35.BC,2025-07-18,Reparado / Garantía Lab,0,0,465.0,1157,0
7203398,CVB35.BC,2021-05-10,Reparado,0,0,0.0,0,1
7203398,CVB35.BC,2021-05-20,Reparado / Garantía Lab,1,1,10.0,10,0
7203398,CVB35.BC,2021-12-01,Reparado / Garantía Lab,0,2,195.0,205,1
7203398,CVB35.BC,2021-12-03,Reparado / Garantía Lab,1,3,2.0,207,0
7203399,CVB35.BC,2021-02-08,Reparado,0,0,0.0,0,0
7203399,CVB35.BC,2025-10-20,Reparado / Garantía Lab,0,0,1715.0,1715,0
7203400,CVB35.BC,2021-02-09,Reparado,0,0,0.0,0,1
7203400,CVB35.BC,2021-02-16,Reparado / Garantía Lab,1,1,7.0,7,0
7203400,CVB35.BC,2021-12-14,Reparado / Garantía Lab,0,2,301.0,308,1
7203400,CVB35.BC,2022-01-13,Reparado / Garantía Lab,1,3,30.0,338,0
7203400,CVB35.BC,2023-06-02,Reparado / Garantía Lab,0,0,505.0,843,1
7203400,CVB35.BC,2023-06-07,Reparado / Garantía Lab,1,1,5.0,848,1
7203400,CVB35.BC,2023-06-12,Reparado / Garantía Lab,2,2,5.0,853,1
7203400,CVB35.BC,2023-06-19,Reparado / Garantía Lab,3,3,7.0,860,1
7203400,CVB35.BC,2023-06-20,Reparado / Garantía Lab,4,4,1.0,861,0
7203400,CVB35.BC,2023-10-25,Reparado / Garantía Lab,5,5,127.0,988,0
7203400,CVB35.BC,2024-06-12,POD Reparado,0,3,231.0,1219,0
7203401,CVB35.BC,2023-05-23,Reparado,0,0,0.0,0,0
7203402,CVB35.BC,2021-09-29,Reparado,0,0,0.0,0,0
7203402,CVB35.BC,2024-05-21,Reparado / Garantía Lab,0,0,965.0,965,0
7203403,CVB35.BC,2022-10-24,POD Reparado,0,0,0.0,0,1
7203403,CVB35.BC,2022-11-23,Reparado / Garantía Lab,1,1,30.0,30,0
7203404,CVB35.BC,2023-07-13,Reparado,0,0,0.0,0,0
7203404,CVB35.BC,2024-04-05,Reparado / Garantía Lab,0,1,267.0,267,0
7203405,CVB35.BC,2024-06-27,Reparado,0,0,0.0,0,0
7203406,CVB35.BC,2021-02-11,Reparado,0,0,0.0,0,0
7203406,CVB35.BC,2022-08-24,Reparado / Garantía Lab,0,0,559.0,559,0
7203407,CVB35.BC,2021-11-17,Reparado,0,0,0.0,0,0
7203407,CVB35.BC,2022-08-04,Reparado,0,1,260.0,260,0
7203407,CVB35.BC,2025-08-11,Reparado / Garantía Lab,0,0,1103.0,1363,0
7203408,CVB35.BC,2021-11-24,Reparado,0,0,0.0,0,0
7203409,CVB35.BC,2022-06-12,Reparado,0,0,0.0,0,0
7203409,CVB35.BC,2025-11-21,Reparado / Garantía Lab,0,0,1258.0,1258,0
7203410,CVB35.BC,2022-08-12,Reparado,0,0,0.0,0,0
7203410,CVB35.BC,2024-08-07,Reparado / Garantía Lab,0,0,726.0,726,0
7203411,CVB35.BC,2022-11-08,Reparado,0,0,0.0,0,0
7203413,CVB35.BC,2021-12-24,Reparado,0,0,0.0,0,0
7203413,CVB35.BC,2025-02-24,Reparado / Garantía Lab,0,0,1158.0,1158,0
7203413,CVB35.BC,2025-04-28,Reparado / Garantía Lab,1,1,63.0,1221,1
7203413,CVB35.BC,2025-04-30,Reparado / Garantía Lab,2,2,2.0,1223,0
7203413,CVB35.BC,2025-07-02,Reparado / Garantía Lab,3,3,63.0,1286,1
7203413,CVB35.BC,2025-07-07,Reparado / Garantía Lab,4,4,5.0,1291,1
7203413,CVB35.BC,2025-07-10,Reparado / Garantía Lab,5,5,3.0,1294,1
7203413,CVB35.BC,2025-07-15,Reparado / Garantía Lab,6,6,5.0,1299,0
7203413,CVB35.BC,2025-10-03,Reparado / Garantía Lab,6,7,80.0,1379,0
7203414,CVB35.BC,2022-03-17,Reparado,0,0,0.0,0,0
7203415,CVB35.BC,2021-05-29,Reparado,0,0,0.0,0,0
7203415,CVB35.BC,2024-07-16,Reparado / Garantía Lab,0,0,1144.0,1144,1
7203415,CVB35.BC,2024-07-22,Reparado / Garantía Lab,1,1,6.0,1150,0
7203416,CVB35.BC,2022-01-18,Reparado,0,0,0.0,0,0
7203416,CVB35.BC,2023-10-05,Reparado / Garantía Lab,0,0,625.0,625,0
7203416,CVB35.BC,2025-11-25,Reparado / Garantía Lab,0,0,782.0,1407,0
7203417,CVB35.BC,2020-12-22,Reparado,0,0,0.0,0,0
7203417,CVB35.BC,2021-07-05,Reparado / Garantía Lab,0,1,195.0,195,1
7203417,CVB35.BC,2021-07-09,Reparado / Garantía Lab,1,2,4.0,199,0
7203417,CVB35.BC,2021-09-02,Reparado / Garantía Lab,2,3,55.0,254,0
7203417,CVB35.BC,2022-03-07,Reparado / Garantía Lab,0,3,186.0,440,1
7203417,CVB35.BC,2022-03-10,Reparado,1,4,3.0,443,0
7203417,CVB35.BC,2024-02-03,Reparado / Garantía Lab,0,0,695.0,1138,0
7203417,CVB35.BC,2024-04-22,Reparado / Garantía Lab,1,1,79.0,1217,0
7203417,CVB35.BC,2025-06-27,Reparado / Garantía Lab,0,0,431.0,1648,0
7203417,CVB35.BC,2025-08-20,Reparado / Garantía Lab,1,1,54.0,1702,0
7203418,CVB35.BC,2025-02-18,Reparado / Garantía Lab,0,0,0.0,0,1
7203418,CVB35.BC,2025-02-20,Reparado / Garantía Lab,1,1,2.0,2,1
7203418,CVB35.BC,2025-02-24,Reparado / Garantía Lab,2,2,4.0,6,0
7203419,CVB35.BC,2021-07-15,Reparado,0,0,0.0,0,0
7203420,CVB35.BC,2021-07-23,Reparado,0,0,0.0,0,0
7203420,CVB35.BC,2023-10-13,Reparado / Garantía Lab,0,0,812.0,812,1
7203420,CVB35.BC,2023-10-23,Reparado / Garantía Lab,1,1,10.0,822,0
7203420,CVB35.BC,2025-09-08,Reparado / Garantía Lab,0,0,686.0,1508,0
7203422,CVB35.BC,2021-02-28,Reparado,0,0,0.0,0,0
7203423,CVB35.BC,2022-08-11,Reparado,0,0,0.0,0,0
7203423,CVB35.BC,2022-12-12,Reparado / Garantía Lab,1,1,123.0,123,0
7203425,CVB35.BC,2021-11-06,Reparado,0,0,0.0,0,0
7203426,CVB35.BC,2021-12-09,Reparado,0,0,0.0,0,0
7203427,CVB35.BC,2021-08-26,Reparado,0,0,0.0,0,0
7203427,CVB35.BC,2022-05-28,Reparado,0,1,275.0,275,0
7203427,CVB35.BC,2024-11-05,Reparado / Garantía Lab,0,0,892.0,1167,0
7203427,CVB35.BC,2025-06-25,Reparado / Garantía Lab,0,1,232.0,1399,0
7203429,CVB35.BC,2022-03-26,Reparado,0,0,0.0,0,0
7203430,CVB35.BC,2022-02-12,Reparado,0,0,0.0,0,1
7203430,CVB35.BC,2022-02-17,Reparado / Garantía Lab,1,1,5.0,5,1
7203430,CVB35.BC,2022-02-28,Reparado / Garantía Lab,2,2,11.0,16,1
7203430,CVB35.BC,2022-03-04,Reparado / Garantía Lab,3,3,4.0,20,0
7203431,CVB35.BC,2022-02-14,Reparado,0,0,0.0,0,0
7203431,CVB35.BC,2024-01-04,Reparado / Garantía Lab,0,0,689.0,689,0
7203431,CVB35.BC,2024-07-12,Reparado / Garantía Lab,0,1,190.0,879,0
7203432,CVB35.BC,2022-06-21,Reparado,0,0,0.0,0,0
7203432,CVB35.BC,2023-09-21,Reparado / Garantía Lab,0,0,457.0,457,0
7203433,CVB35.BC,2020-01-28,Reparado / Garantía Lab,0,0,0.0,0,0
7203433,CVB35.BC,2021-02-27,Reparado,0,0,396.0,396,0
7203433,CVB35.BC,2022-07-11,Reparado / Garantía Lab,0,0,499.0,895,0
7203433,CVB35.BC,2025-09-05,Reparado / Garantía Lab,0,0,1152.0,2047,0
7203435,CVB35.BC,2022-11-26,Reparado,0,0,0.0,0,0
7203435,CVB35.BC,2025-01-08,Reparado / Garantía Lab,0,0,774.0,774,0
7203435,CVB35.BC,2025-10-15,Reparado / Garantía Lab,0,1,280.0,1054,0
7203436,CVB35.BC,2021-11-03,Reparado,0,0,0.0,0,0
7203436,CVB35.BC,2022-03-13,Reparado / Garantía Lab,1,1,130.0,130,1
7203436,CVB35.BC,2022-03-25,Reparado / Garantía Lab,2,2,12.0,142,0
7203437,CVB35.BC,2022-12-05,Reparado,0,0,0.0,0,0
7203437,CVB35.BC,2025-11-07,Reparado / Garantía Lab,0,0,1068.0,1068,0
7203438,CVB35.BC,2021-03-24,POD,0,0,0.0,0,1
7203438,CVB35.BC,2021-03-24,POD Reparado,0,0,0.0,0,1
7203438,CVB35.BC,2021-03-25,Reparado,2,2,1.0,1,0
7203438,CVB35.BC,2021-11-17,Reparado / Garantía Lab,0,3,237.0,238,0
7203439,CVB35.BC,2019-09-25,Reparado,0,0,0.0,0,0
7203439,CVB35.BC,2021-03-19,Reparado / Garantía Lab,0,0,541.0,541,0
7203439,CVB35.BC,2023-06-29,Reparado,0,0,832.0,1373,0
7203441,CVB35.BC,2021-01-28,Reparado,0,0,0.0,0,0
7203441,CVB35.BC,2023-06-08,Reparado / Garantía Lab,0,0,861.0,861,0
7203441,CVB35.BC,2025-08-04,POD Reparado,0,0,788.0,1649,0
7203442,CVB35.BC,2021-06-08,Reparado,0,0,0.0,0,1
7203442,CVB35.BC,2021-06-18,Reparado / Garantía Lab,1,1,10.0,10,0
7203442,CVB35.BC,2021-11-26,Reparado / Garantía Lab,2,2,161.0,171,0
7203442,CVB35.BC,2022-03-18,Reparado / Garantía Lab,1,3,112.0,283,0
7203444,CVB35.BC,2021-10-09,Reparado,0,0,0.0,0,0
7203444,CVB35.BC,2022-05-27,Reparado / Garantía Lab,0,1,230.0,230,0
7203447,CVB35.BC,2024-01-11,Reparado / Garantía Lab,0,0,0.0,0,1
7203447,CVB35.BC,2024-01-17,Reparado / Garantía Lab,1,1,6.0,6,0
7203448,CVB35.BC,2021-08-05,Reparado,0,0,0.0,0,0
7203450,CVB35.BC,2021-12-16,Reparado,0,0,0.0,0,0
7203450,CVB35.BC,2025-08-21,Reparado / Garantía Lab,0,0,1344.0,1344,0
7203451,CVB35.BC,2021-06-10,Reparado,0,0,0.0,0,0
7203451,CVB35.BC,2022-07-12,Reparado / Garantía Lab,0,0,397.0,397,0
7203452,CVB35.BC,2024-06-27,Reparado,0,0,0.0,0,0
7203453,CVB35.BC,2021-10-02,Reparado,0,0,0.0,0,0
7203453,CVB35.BC,2023-05-30,Reparado / Garantía Lab,0,0,605.0,605,0
7203453,CVB35.BC,2025-10-02,Reparado / Garantía Lab,0,0,856.0,1461,0
7203454,CVB35.BC,2021-10-04,Reparado,0,0,0.0,0,0
7203454,CVB35.BC,2025-08-26,Reparado / Garantía Lab,0,0,1422.0,1422,0
7203456,CVB35.BC,2022-10-23,Reparado,0,0,0.0,0,0
7203456,CVB35.BC,2022-11-23,Reparado / Garantía Lab,1,1,31.0,31,0
7203457,CVB35.BC,2021-03-09,Reparado,0,0,0.0,0,0
7203457,CVB35.BC,2023-05-05,Reparado / Garantía Lab,0,0,787.0,787,0
7203457,CVB35.BC,2024-05-21,Reparado / Garantía Lab,0,0,382.0,1169,0
7203458,CVB35.BC,2022-08-10,Reparado,0,0,0.0,0,1
7203458,CVB35.BC,2022-09-01,Reparado,1,1,22.0,22,0
7203460,CVB35.BC,2022-11-30,Reparado,0,0,0.0,0,0
7203461,CVB35.BC,2021-12-21,Reparado,0,0,0.0,0,0
7203461,CVB35.BC,2024-07-21,Reparado / Garantía Lab,0,0,943.0,943,1
7203461,CVB35.BC,2024-07-30,Reparado / Garantía Lab,1,1,9.0,952,1
7203461,CVB35.BC,2024-08-01,Reparado / Garantía Lab,2,2,2.0,954,0
7203462,CVB35.BC,2024-02-09,Reparado,0,0,0.0,0,0
7203463,CVB35.BC,2024-02-23,Reparado,0,0,0.0,0,0
7203464,CVB35.BC,2023-09-08,Reparado,0,0,0.0,0,0
7203464,CVB35.BC,2025-08-25,Reparado / Garantía Lab,0,0,717.0,717,0
7203465,CVB35.BC,2022-08-05,Reparado,0,0,0.0,0,0
7203465,CVB35.BC,2024-06-17,Reparado / Garantía Lab,0,0,682.0,682,0
7203466,CVB35.BC,2022-11-02,Reparado,0,0,0.0,0,0
7203467,CVB35.BC,2022-11-07,Reparado,0,0,0.0,0,0
7203467,CVB35.BC,2024-02-12,Reparado / Garantía Lab,0,0,462.0,462,0
7203468,CVB35.BC,2022-03-02,Reparado / Garantía Lab,0,0,0.0,0,0
7203468,CVB35.BC,2023-09-11,Reparado / Garantía Lab,0,0,558.0,558,0
7203469,CVB35.BC,2021-11-11,Reparado,0,0,0.0,0,0
7203469,CVB35.BC,2025-01-09,Reparado / Garantía Lab,0,0,1155.0,1155,0
7203470,CVB35.BC,2021-02-06,Reparado,0,0,0.0,0,0
7203470,CVB35.BC,2022-03-09,Reparado / Garantía Lab,0,0,396.0,396,0
7203470,CVB35.BC,2022-05-05,Reparado / Garantía Lab,1,1,57.0,453,1
7203470,CVB35.BC,2022-05-12,Reparado / Garantía Lab,2,2,7.0,460,0
7203470,CVB35.BC,2022-07-02,Reparado / Garantía Lab,3,3,51.0,511,0
7203471,CVB35.BC,2025-11-13,Reparado,0,0,0.0,0,0
7203472,CVB35.BC,2025-05-09,Reparado,0,0,0.0,0,0
7203473,CVB35.BC,2022-12-06,Reparado,0,0,0.0,0,0
7203473,CVB35.BC,2023-06-29,Reparado,0,1,205.0,205,0
7203473,CVB35.BC,2025-03-18,Reparado / Garantía Lab,0,0,628.0,833,0
7203474,CVB35.BC,2022-02-18,Reparado,0,0,0.0,0,1
7203474,CVB35.BC,2022-02-24,Reparado / Garantía Lab,1,1,6.0,6,1
7203474,CVB35.BC,2022-03-04,Reparado / Garantía Lab,2,2,8.0,14,0
7203476,CVB35.BC,2024-06-19,Reparado,0,0,0.0,0,0
7203478,CVB35.BC,2023-05-22,Reparado,0,0,0.0,0,0
7203478,CVB35.BC,2024-01-05,Reparado / Garantía Lab,0,1,228.0,228,0
7203478,CVB35.BC,2025-08-04,Reparado / Garantía Lab,0,0,577.0,805,0
