id,Ingreso,Modelo,Serie,OS,PPU,Falla_Indicada,Estado,Salida,Solucion_Comentario,Estado_normalizado
1290,2020-10-22,CVB45.BC,7403133,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-06,Cambio condensadores MK,Reparado / Garantía Lab
124,2020-10-28,CVB45.BC,7405360,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
206,2020-10-29,CVB45.BC,7401258,S/O,,No Enciende,Reparado,2020-12-17,Reconexion e Instalacion S.O MK,Reparado
727,2020-10-29,CVB45.BC,7402429,S/O,,Falla Kernel,Reparado,2021-02-08,"Reconexion, Pruebas Soft MK e Instalacion S.O MK",Reparado
155,2020-10-29,CVB45.BC,7407646,S/O,,No Enciende,Reparado,2020-12-11,Reconexion e Instalacion S.O MK,Reparado
215,2020-11-01,CVB45.BC,7402455,S/O,,No Enciende,Reparado,2020-12-18,Reconexion e Instalacion S.O MK,Reparado
204,2020-11-03,CVB45.BC,7400975,S/O,,No Enciende,Reparado,2020-12-17,Reconexion e Instalacion S.O MK,Reparado
255,2020-11-03,CVB45.BC,7405291,S/O,,No Enciende,Reparado,2020-12-24,Reconexion e Instalacion S.O MK,Reparado
186,2020-11-03,CVB45.BC,7407373,S/O,,Problema Pantalla,Reparado,2020-12-15,Cambio de Flex e Instalacion S.O MK,Reparado
412,2020-11-03,CVB45.BC,7407627,S/O,,Error 60,Reparado,2021-01-13,Reconexion IDE e Instalacion S.O MK,Reparado
278,2020-11-04,CVB45.BC,7401108,S/O,,Barcode,Reparado,2020-12-29,Cambio Lector QR e Instalacion S.O MK,Reparado
151,2020-11-06,CVB45.BC,7408165,S/O,,Falla Molex,Reparado,2020-12-11,Reconexion e Instalacion S.O MK,Reparado
211,2020-11-09,CVB45.BC,7400647,S/O,,No Enciende,Reparado,2020-12-18,Reconexion e Instalacion S.O MK,Reparado
219,2020-11-09,CVB45.BC,7401075,S/O,,No Enciende,Reparado,2020-12-18,Reconexion e Instalacion S.O MK,Reparado
349,2020-11-09,CVB45.BC,7401424,S/O,,Error 60,Reparado,2021-01-08,Reconexion e Instalacion S.O MK,Reparado
354,2020-11-09,CVB45.BC,7401437,S/O,,Error 60,Reparado/Garantía Lab,2021-01-11,Reconexion IDE e Instalacion S.O MK,Reparado / Garantía Lab
130,2020-11-09,CVB45.BC,7402946,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
185,2020-11-09,CVB45.BC,7405282,S/O,,No Enciende,Reparado,2020-12-15,Reconexion e Instalacion S.O MK,Reparado
128,2020-11-09,CVB45.BC,7405295,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
129,2020-11-09,CVB45.BC,7405332,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
127,2020-11-09,CVB45.BC,7408141,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
250,2020-11-10,CVB45.BC,7406292,S/O,,Display Blanco/Negro,Reparado,2020-12-22,Cambio de Flex e Instalacion S.O MK,Reparado
416,2020-11-10,CVB45.BC,7408410,S/O,,Error 60,Reparado,2021-01-13,Reconexion IDE e Instalacion S.O MK,Reparado
273,2020-11-11,CVB35.BC,7203851,S/O,,Barcode,Reparado,2020-12-29,Cambio Lector QR e Instalacion S.O MK,Reparado
50,2020-11-13,CVB45.BC,7400737,S/O,,Error 60,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
46,2020-11-13,CVB45.BC,7401018,S/O,,Error 60,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
42,2020-11-13,CVB45.BC,7401075,S/O,,Error 60,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
43,2020-11-13,CVB45.BC,7401591,S/O,,Sim Test,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
48,2020-11-13,CVB45.BC,7401733,S/O,,Sim Test,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
44,2020-11-13,CVB45.BC,7401762,S/O,,Sim Test,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
45,2020-11-13,CVB45.BC,7402172,S/O,,Error 60,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
41,2020-11-13,CVB45.BC,7404964,S/O,,Error 60,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
47,2020-11-13,CVB45.BC,7405124,S/O,,Problema Molex,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
49,2020-11-13,CVB45.BC,7405442,S/O,,Problema Molex,Reparado,2020-11-13,Reconexion e Instalacion S.O MK,Reparado
51,2020-11-14,CVB35.BC,7204210,S/O,,Intermitente,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
200,2020-11-15,CVB45.BC,7408057,S/O,,No Enciende,Reparado,2020-12-16,Reconexion e Instalacion S.O MK,Reparado
408,2020-11-17,CVB45.BC,7400737,S/O,,Error 60,Reparado/Garantía Lab,2021-01-13,Reconexion IDE e Instalacion S.O MK,Reparado / Garantía Lab
452,2020-11-17,CVB45.BC,7401018,S/O,,Error 60,Reparado/Garantía Lab,2021-01-18,Reconexion IDE e Instalacion S.O MK,Reparado / Garantía Lab
697,2020-11-17,CVB45.BC,7401578,S/O,,Error 60,Reparado,2021-02-05,Reconexion e Instalacion S.O MK,Reparado
228,2020-11-17,CVB45.BC,7401633,S/O,,No Enciende,Reparado,2020-12-21,Reconexion e Instalacion S.O MK,Reparado
203,2020-11-17,CVB45.BC,7402332,S/O,,No Enciende,Reparado,2020-12-17,Reconexion e Instalacion S.O MK,Reparado
410,2020-11-17,CVB45.BC,7403488,S/O,,Error 60,Reparado,2021-01-13,Reconexion IDE e Instalacion S.O MK,Reparado
755,2020-11-17,CVB45.BC,7405124,S/O,,Falla Molex,Reparado/Garantía Lab,2021-02-09,"Reconexion, Pruebas Soft MK e Instalacion S.O MK",Reparado / Garantía Lab
696,2020-11-17,CVB45.BC,7405212,S/O,,Falla Molex,Reparado,2021-02-05,Reconexion e Instalacion S.O MK,Reparado
698,2020-11-17,CVB45.BC,7405442,S/O,,Falla Molex,Reparado/Garantía Lab,2021-02-05,Reconexion e Instalacion S.O MK,Reparado / Garantía Lab
313,2020-11-17,CVB45.BC,7405491,S/O,,Falla Comunicacion,Reparado,2021-01-05,Cambio de Procesador e Instalacion de S.O MK,Reparado
1289,2020-11-17,CVB45.BC,7406517,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-06,Cambio condensadores MK,Reparado / Garantía Lab
1126,2020-11-17,CVB45.BC,7407609,S/O,,Falla Molex,Reparado,2021-03-10,"Cambio IDE, Aplicación Pegamento, Pruebas Soft MK e Instalacion S.O MK",Reparado
221,2020-11-17,CVB45.BC,7408242,S/O,,No Enciende,Reparado,2020-12-21,Reconexion e Instalacion S.O MK,Reparado
279,2020-11-18,CVB35.BC,7204167,S/O,,Barcode,Reparado,2020-12-29,Cambio Lector QR e Instalacion S.O MK,Reparado
938,2020-11-18,CVB45.BC,7405147,S/O,,Falla Molex,Reparado,2021-02-19,"Cambio IDE, Pruebas Soft MK e Instalacion S.O MK",Reparado
940,2020-11-18,CVB45.BC,7407653,S/O,,Falla Molex,Reparado,2021-02-19,"Cambio IDE, Pruebas Soft MK e Instalacion S.O MK",Reparado
184,2020-11-18,CVB45.BC,7408132,S/O,,No Enciende,Reparado,2020-12-15,Reconexion e Instalacion S.O MK,Reparado
58,2020-11-19,CVB45.BC,7400636,S/O,,Error 60,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
54,2020-11-19,CVB45.BC,7401069,S/O,,Error 60,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
65,2020-11-19,CVB45.BC,7402591,S/O,,Error 60,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
52,2020-11-19,CVB45.BC,7402782,S/O,,Problema Molex,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
61,2020-11-19,CVB45.BC,7402905,S/O,,Problema USB,Reparado,2020-11-19,Cambio Procesador,Reparado
1243,2020-11-19,CVB45.BC,7403005,S/O,,PCB MBB,Reparado / Garantia MK,2021-03-31,Cambio condensadores MK,Reparado / Garantía Lab
55,2020-11-19,CVB45.BC,7403110,S/O,,Error 60,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
63,2020-11-19,CVB45.BC,7404903,S/O,,No Inicianiliza,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
59,2020-11-19,CVB45.BC,7404957,S/O,,Error 60,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
62,2020-11-19,CVB45.BC,7405018,S/O,,Pantalla Mala,Reparado,2020-11-19,Cambio Display,Reparado
64,2020-11-19,CVB45.BC,7405463,S/O,,Error 60,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
60,2020-11-19,CVB45.BC,7405510,S/O,,No Enciende,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
194,2020-11-19,CVB45.BC,7407622,S/O,,No Enciende,Reparado,2020-12-16,Reconexion e Instalacion S.O MK,Reparado
178,2020-11-19,CVB45.BC,7407960,S/O,,No Enciende,Reparado,2020-12-14,Reconexion e Instalacion S.O MK,Reparado
209,2020-11-19,CVB45.BC,7408015,S/O,,No Enciende,Reparado,2020-12-17,Reconexion e Instalacion S.O MK,Reparado
210,2020-11-19,CVB45.BC,7408122,S/O,,No Enciende,Reparado,2020-12-17,Reconexion e Instalacion S.O MK,Reparado
56,2020-11-19,CVB45.BC,7408123,S/O,,Problema USB,Reparado,2020-11-19,Cambio Procesador,Reparado
216,2020-11-19,CVB45.BC,7408140,S/O,,No Enciende,Reparado,2020-12-18,Cambio Fusible e Instalacion S.O MK,Reparado
57,2020-11-19,CVB45.BC,7408239,S/O,,Problema Molex,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
53,2020-11-20,CVB35.BC,7203991,S/O,,Intermitente,Reparado,2020-11-19,Reconexion e Instalacion S.O MK,Reparado
358,2020-11-20,CVB45.BC,7401069,S/O,,Error 60,Reparado/Garantía Lab,2021-01-11,Reconexion IDE e Instalacion S.O MK,Reparado / Garantía Lab
411,2020-11-20,CVB45.BC,7402172,S/O,,Error 60,Reparado/Garantía Lab,2021-01-13,Reconexion IDE e Instalacion S.O MK,Reparado / Garantía Lab
363,2020-11-20,CVB45.BC,7403170,S/O,,Error 60,Reparado,2021-01-11,Reconexion IDE e Instalacion S.O MK,Reparado
207,2020-11-20,CVB45.BC,7405018,S/O,,No Enciende,Reparado,2020-12-17,Reconexion e Instalacion S.O MK,Reparado
181,2020-11-20,CVB45.BC,7408226,S/O,,No Comunica,Reparado,2020-12-15,Reconexion e Instalacion S.O MK,Reparado
1312,2020-11-23,CVB45.BC,7402744,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-08,Cambio condensadores MK,Reparado / Garantía Lab
1259,2020-11-23,CVB45.BC,7408206,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-01,Cambio condensadores MK,Reparado / Garantía Lab
449,2020-11-24,CVB35.BC,7203561,S/O,,Fecha Erronea,Reparado,2021-01-18,"Cambio Pila, Configuracion e Instalacion S.O MK",Reparado
163,2020-11-24,CVB45.BC,7400696,S/O,,Problema Software Sonda,Reparado,2020-12-11,Instalacion S.O MK,Reparado
309,2020-11-25,CVB35.BC,7204210,S/O,,No Comunica,Reparado,2021-01-04,Reconexion e Instalacion S.O MK,Reparado
361,2020-11-25,CVB45.BC,7400636,S/O,,Error 60,Reparado/Garantía Lab,2021-01-11,Reconexion IDE e Instalacion S.O MK,Reparado / Garantía Lab
235,2020-11-25,CVB45.BC,7401632,S/O,,Mifare Test,Reparado,2020-12-22,Cambio Mifare e Instalacion S.O MK,Reparado
366,2020-11-25,CVB45.BC,7402591,S/O,,Error 60,Reparado/Garantía Lab,2021-01-12,Reconexion IDE e Instalacion S.O MK,Reparado / Garantía Lab
954,2020-11-25,CVB45.BC,7402782,S/O,,Falla Molex,Reparado/Garantía Lab,2021-02-22,"Cambio IDE, Pruebas Soft MK e Instalacion S.O MK",Reparado / Garantía Lab
1254,2020-11-25,CVB45.BC,7403050,S/O,,PCB MBB,Reparado / Garantia MK,2021-03-31,Cambio condensadores MK,Reparado / Garantía Lab
1253,2020-11-25,CVB45.BC,7403129,S/O,,PCB MBB,Reparado / Garantia MK,2021-03-31,Cambio condensadores MK,Reparado / Garantía Lab
356,2020-11-25,CVB45.BC,7404957,S/O,,Error 60,Reparado/Garantía Lab,2021-01-11,Reconexion IDE e Instalacion S.O MK,Reparado / Garantía Lab
1125,2020-11-25,CVB45.BC,7405463,S/O,,Falla Molex,Reparado/Garantía Lab,2021-03-10,"Cambio IDE, Aplicación Pegamento, Pruebas Soft MK e Instalacion S.O MK",Reparado / Garantía Lab
978,2020-11-25,CVB45.BC,7405510,S/O,,Falla Molex,Reparado/Garantía Lab,2021-02-24,"Cambio IDE, Pruebas Soft MK e Instalacion S.O MK",Reparado / Garantía Lab
208,2020-11-25,CVB45.BC,7405574,S/O,,No Enciende,Reparado,2020-12-17,Reconexion e Instalacion S.O MK,Reparado
191,2020-11-25,CVB45.BC,7405884,S/O,,No Enciende,Reparado,2020-12-16,Reconexion e Instalacion S.O MK,Reparado
1244,2020-11-25,CVB45.BC,7407242,S/O,,PCB MBB,Reparado / Garantia MK,2021-03-31,Cambio condensadores MK,Reparado / Garantía Lab
317,2020-11-25,CVB45.BC,7407364,S/O,,No Enciende,Reparado,2021-01-05,Reconexion e Instalacion S.O MK,Reparado
1260,2020-11-25,CVB45.BC,7407435,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-01,Cambio condensadores MK,Reparado / Garantía Lab
1256,2020-11-25,CVB45.BC,7407643,S/O,,PCB MBB,Reparado / Garantia MK,2021-04-01,Cambio condensadores MK,Reparado / Garantía Lab
190,2020-11-25,CVB45.BC,7407665,S/O,,No Enciende,Reparado,2020-12-15,Reconexion e Instalacion S.O MK,Reparado
126,2020-11-25,CVB45.BC,7407670,S/O,,No Enciende,Reparado,2020-12-09,Reconexion e Instalacion S.O MK,Reparado
1255,2020-11-25,CVB45.BC,7407674,S/O,,PCB MBB,Reparado / Garantia MK,2021-03-31,Cambio condensadores MK,Reparado / Garantía Lab
